iter	Passed	Remaining
0	1306	1305682
1	1348	672751
2	1369	455009
3	1404	349669
4	1422	282983
5	1455	241176
6	1476	209419
7	1491	184913
8	1507	165961
9	1553	153830
10	1561	140365
11	1571	129406
12	1579	119936
13	1590	112019
14	1597	104922
15	1607	98889
16	1620	93712
17	1636	89261
18	1656	85551
19	1675	82091
20	1682	78447
21	1692	75240
22	1708	72593
23	1727	70239
24	1734	67658
25	1740	65201
26	1747	62974
27	1754	60901
28	1763	59055
29	1771	57271
30	1778	55595
31	1786	54041
32	1796	52634
33	1801	51195
34	1847	50928
35	1855	49673
36	1862	48465
37	1869	47317
38	1876	46238
39	1884	45232
40	1892	44273
41	1903	43427
42	1919	42710
43	1942	42194
44	1950	41395
45	1960	40659
46	1966	39870
47	1972	39128
48	1982	38474
49	1989	37791
50	1997	37176
51	2006	36573
52	2014	35988
53	2019	35378
54	2027	34834
55	2032	34263
56	2038	33730
57	2045	33226
58	2051	32720
59	2057	32226
60	2062	31752
61	2069	31308
62	2082	30974
63	2089	30561
64	2099	30200
65	2107	29827
66	2114	29445
67	2121	29074
68	2127	28710
69	2133	28347
70	2140	28010
71	2149	27710
72	2156	27382
73	2164	27083
74	2172	26790
75	2181	26521
76	2186	26209
77	2191	25908
78	2200	25650
79	2206	25378
80	2212	25102
81	2219	24842
82	2221	24548
83	2229	24310
84	2234	24058
85	2242	23831
86	2249	23604
87	2256	23386
88	2262	23162
89	2271	22970
90	2279	22770
91	2293	22633
92	2304	22477
93	2316	22326
94	2324	22146
95	2331	21955
96	2339	21778
97	2347	21609
98	2355	21434
99	2364	21281
100	2374	21132
101	2380	20959
102	2386	20787
103	2397	20657
104	2405	20505
105	2413	20356
106	2420	20199
107	2426	20043
108	2434	19897
109	2439	19738
110	2444	19579
111	2451	19437
112	2458	19299
113	2464	19153
114	2471	19018
115	2477	18877
116	2483	18745
117	2489	18609
118	2496	18485
119	2504	18369
120	2514	18268
121	2523	18160
122	2533	18063
123	2538	17933
124	2545	17816
125	2550	17691
126	2554	17558
127	2561	17448
128	2615	17657
129	2643	17693
130	2661	17655
131	2678	17611
132	2684	17497
133	2702	17462
134	2814	18032
135	2820	17919
136	2943	18542
137	2955	18459
138	2962	18350
139	2974	18271
140	2988	18204
141	2993	18087
142	2999	17977
143	3013	17914
144	3062	18055
145	3074	17982
146	3083	17890
147	3092	17802
148	3098	17694
149	3110	17625
150	3120	17547
151	3130	17466
152	3141	17389
153	3149	17302
154	3154	17196
155	3160	17097
156	3165	16999
157	3170	16898
158	3175	16795
159	3181	16701
160	3183	16592
161	3189	16496
162	3194	16405
163	3200	16317
164	3206	16226
165	3212	16141
166	3218	16053
167	3225	15974
168	3231	15889
169	3237	15808
170	3243	15723
171	3248	15637
172	3255	15562
173	3261	15481
